Model,Day,Volume_mm3,Arm
PDX_C01,0,219.4,control
PDX_C01,7,206.8,control
PDX_C01,14,288.7,control
PDX_C01,21,289.1,control
PDX_C01,28,352.9,control
PDX_C02,0,166.7,control
PDX_C02,7,184.7,control
PDX_C02,14,263.5,control
PDX_C02,21,305.4,control
PDX_C02,28,329.9,control
PDX_C03,0,208.1,control
PDX_C03,7,297.1,control
PDX_C03,14,265.0,control
PDX_C03,21,355.4,control
PDX_C03,28,353.0,control
PDX_C04,0,141.8,control
PDX_C04,7,148.7,control
PDX_C04,14,167.3,control
PDX_C04,21,206.8,control
PDX_C04,28,214.6,control
PDX_C05,0,160.8,control
PDX_C05,7,199.4,control
PDX_C05,14,188.7,control
PDX_C05,21,237.0,control
PDX_C05,28,249.6,control
PDX_C06,0,193.4,control
PDX_C06,7,222.9,control
PDX_C06,14,276.2,control
PDX_C06,21,355.1,control
PDX_C06,28,366.0,control
PDX_C07,0,169.7,control
PDX_C07,7,203.1,control
PDX_C07,14,216.6,control
PDX_C07,21,306.0,control
PDX_C07,28,367.2,control
PDX_C08,0,162.2,control
PDX_C08,7,208.2,control
PDX_C08,14,197.3,control
PDX_C08,21,222.3,control
PDX_C08,28,265.7,control
PDX_C09,0,114.2,control
PDX_C09,7,126.1,control
PDX_C09,14,163.6,control
PDX_C09,21,167.7,control
PDX_C09,28,216.0,control
PDX_C10,0,153.4,control
PDX_C10,7,196.6,control
PDX_C10,14,224.7,control
PDX_C10,21,247.8,control
PDX_C10,28,330.0,control
PDX_C11,0,92.0,control
PDX_C11,7,113.4,control
PDX_C11,14,132.3,control
PDX_C11,21,141.2,control
PDX_C11,28,179.1,control
PDX_C12,0,206.9,control
PDX_C12,7,195.5,control
PDX_C12,14,287.5,control
PDX_C12,21,275.1,control
PDX_C12,28,363.5,control
PDX_C13,0,114.3,control
PDX_C13,7,142.5,control
PDX_C13,14,195.3,control
PDX_C13,21,202.0,control
PDX_C13,28,236.4,control
PDX_C14,0,173.0,control
PDX_C14,7,204.5,control
PDX_C14,14,224.1,control
PDX_C14,21,258.5,control
PDX_C14,28,357.1,control
PDX_C15,0,89.5,control
PDX_C15,7,93.5,control
PDX_C15,14,95.5,control
PDX_C15,21,123.2,control
PDX_C15,28,177.3,control
PDX_T01,0,188.8,treatment
PDX_T01,7,190.7,treatment
PDX_T01,14,166.3,treatment
PDX_T01,21,136.5,treatment
PDX_T01,28,105.4,treatment
PDX_T02,0,148.6,treatment
PDX_T02,7,147.0,treatment
PDX_T02,14,140.9,treatment
PDX_T02,21,131.2,treatment
PDX_T02,28,113.9,treatment
PDX_T03,0,134.8,treatment
PDX_T03,7,105.0,treatment
PDX_T03,14,130.0,treatment
PDX_T03,21,105.5,treatment
PDX_T03,28,121.4,treatment
PDX_T04,0,158.4,treatment
PDX_T04,7,185.3,treatment
PDX_T04,14,138.6,treatment
PDX_T04,21,171.5,treatment
PDX_T04,28,169.9,treatment
PDX_T05,0,81.1,treatment
PDX_T05,7,84.9,treatment
PDX_T05,14,75.4,treatment
PDX_T05,21,90.9,treatment
PDX_T05,28,65.3,treatment
PDX_T06,0,167.9,treatment
PDX_T06,7,149.4,treatment
PDX_T06,14,168.4,treatment
PDX_T06,21,173.6,treatment
PDX_T06,28,158.0,treatment
PDX_T07,0,147.1,treatment
PDX_T07,7,116.6,treatment
PDX_T07,14,116.3,treatment
PDX_T07,21,140.2,treatment
PDX_T07,28,131.5,treatment
PDX_T08,0,146.6,treatment
PDX_T08,7,149.6,treatment
PDX_T08,14,122.0,treatment
PDX_T08,21,144.1,treatment
PDX_T08,28,106.2,treatment
PDX_T09,0,161.6,treatment
PDX_T09,7,146.1,treatment
PDX_T09,14,157.2,treatment
PDX_T09,21,160.9,treatment
PDX_T09,28,126.2,treatment
PDX_T10,0,184.5,treatment
PDX_T10,7,175.4,treatment
PDX_T10,14,148.1,treatment
PDX_T10,21,130.1,treatment
PDX_T10,28,96.7,treatment
PDX_T11,0,140.3,treatment
PDX_T11,7,134.1,treatment
PDX_T11,14,98.5,treatment
PDX_T11,21,92.7,treatment
PDX_T11,28,69.1,treatment
PDX_T12,0,179.3,treatment
PDX_T12,7,152.8,treatment
PDX_T12,14,149.2,treatment
PDX_T12,21,138.2,treatment
PDX_T12,28,140.1,treatment
PDX_T13,0,214.7,treatment
PDX_T13,7,202.4,treatment
PDX_T13,14,182.5,treatment
PDX_T13,21,192.2,treatment
PDX_T13,28,197.0,treatment
PDX_T14,0,168.7,treatment
PDX_T14,7,153.9,treatment
PDX_T14,14,172.3,treatment
PDX_T14,21,177.8,treatment
PDX_T14,28,204.8,treatment
PDX_T15,0,168.2,treatment
PDX_T15,7,150.0,treatment
PDX_T15,14,132.5,treatment
PDX_T15,21,129.7,treatment
PDX_T15,28,120.3,treatment
